original filename,compressed name,Window Length,Window Overlap,RMS Error,Input Size,Compress File Size,Compression Ratio,FilterBank Num SubBands ,FilterBank Length,Adaptive Byte Buff,Adaptive Huffman,Model f1,Model f2,Comp IO Time (ms),Decomp IO Time (ms),Comp Filter Bank Time (ms),Decomp Filter Bank Time (ms),Comp MDCT Time (ms),Decomp MDCT Time (ms),Comp Byte Bufferizer (ms),Decomp Byte Bufferizer (ms),Comp Huffman Time (ms),Decomp Huffman Time (ms),Comp Serialize Time (ms),Decomp Serialize Time (ms),Total Compression time (ms), Total Decompression time (ms),
ep_low.wav,ep_low.jet,256,0,0.035585295,5203800,5261607,1.0111086,2,256,true,true,0.0,0.0,0.133724,675.974526,158.997305,81.405353,0.0,0.0,138.58401,125.802948,389.305456,117.764411,7.855609,347.61132,694.881538,675.987506,
ep_low.wav,ep_low.jet,256,0,0.035585295,5203800,5261607,1.0111086,2,256,true,true,0.0,15000.0,0.216735,671.417342,168.059148,81.603976,0.0,0.0,132.234079,122.778913,385.024475,115.596452,6.750499,347.512309,692.290068,671.422172,
ep_low.wav,ep_low.jet,256,0,0.035599705,5203800,3886737,0.7469036,2,256,true,true,100.0,12500.0,0.197115,573.310971,163.760659,81.705703,0.0,0.0,134.979196,128.581269,279.99977,107.401552,5.956909,253.433659,584.898478,573.316103,
ep_low.wav,ep_low.jet,256,0,0.035628453,5203800,2476983,0.47599503,2,256,true,true,200.0,10000.0,0.18504,476.321785,158.584964,88.394019,0.0,0.0,131.812381,121.935515,177.097445,103.121476,5.035028,161.43392,472.720292,476.327521,
ep_low.wav,ep_low.jet,256,0,0.035628453,5203800,2476983,0.47599503,2,256,true,true,300.0,8000.0,0.185946,498.069,158.474181,81.910666,0.0,0.0,117.994127,123.707737,175.934076,128.02162,4.894059,162.880434,457.48722,498.074132,
ep_low.wav,ep_low.jet,512,0,0.03323878,5203800,5168361,0.9931898,2,256,true,true,0.0,0.0,0.179908,672.86446,172.680929,80.295714,0.0,0.0,135.062811,137.057503,373.305357,115.514648,6.11931,336.666473,687.353145,672.870196,
ep_low.wav,ep_low.jet,512,0,0.03323878,5203800,5168361,0.9931898,2,256,true,true,0.0,15000.0,0.187153,671.276072,171.640115,83.622516,0.0,0.0,136.064081,137.600549,374.069969,109.084422,6.195379,337.712419,688.169073,671.282109,
ep_low.wav,ep_low.jet,512,0,0.033255983,5203800,3798331,0.72991484,2,256,true,true,100.0,12500.0,0.182323,577.393933,171.875265,80.334051,0.0,0.0,121.539173,137.180662,271.560363,112.062574,6.10482,245.580767,571.267076,577.39846,
ep_low.wav,ep_low.jet,512,0,0.033296414,5203800,2378697,0.4571077,2,256,true,true,200.0,10000.0,0.239375,478.641883,174.140725,80.104939,0.0,0.0,125.760385,136.266629,167.758797,108.564317,5.228219,152.207866,473.132935,478.646108,
ep_low.wav,ep_low.jet,512,0,0.033296414,5203800,2378697,0.4571077,2,256,true,true,300.0,8000.0,0.183833,488.785592,173.699406,78.716382,0.0,0.0,124.495289,136.83624,166.912381,118.28029,4.896776,153.498922,470.193118,488.790422,
ep_low.wav,ep_low.jet,1024,0,0.03204003,5203800,5107660,0.98152506,2,256,true,true,0.0,0.0,0.199831,670.648505,178.825595,81.718985,0.0,0.0,135.75709,143.480485,364.608161,110.300616,6.087011,331.777244,685.482819,670.653636,
ep_low.wav,ep_low.jet,1024,0,0.03204003,5203800,5107660,0.98152506,2,256,true,true,0.0,15000.0,0.244809,683.737162,181.70353,75.778377,0.0,0.0,125.304275,143.670354,370.644157,123.869534,6.96482,336.973163,684.867326,683.743199,
ep_low.wav,ep_low.jet,1024,0,0.032060653,5203800,3738479,0.7184133,2,256,true,true,100.0,12500.0,0.243903,571.826725,177.980688,80.765409,0.0,0.0,128.255562,142.748171,265.47124,105.519151,6.622209,240.407185,578.579337,571.831856,
ep_low.wav,ep_low.jet,1024,0,0.03211286,5203800,2305138,0.44297206,2,256,true,true,200.0,10000.0,0.20436,483.53564,178.86212,81.872632,0.0,0.0,123.868024,145.340547,162.599101,109.090761,4.960166,145.802392,470.499506,483.541074,
ep_low.wav,ep_low.jet,1024,0,0.03211286,5203800,2305138,0.44297206,2,256,true,true,300.0,8000.0,0.182927,484.001108,179.146473,76.934199,0.0,0.0,115.341077,144.987068,161.921425,115.694255,4.930584,144.983144,461.529429,484.006844,
ep_low.wav,ep_low.jet,2048,0,0.03141405,5203800,5071314,0.97454053,2,256,true,true,0.0,0.0,0.203453,674.402437,181.283643,79.824812,0.0,0.0,133.680593,146.597191,362.821753,116.842228,6.285936,327.805972,684.281415,674.40757,
ep_low.wav,ep_low.jet,2048,0,0.03141405,5203800,5071314,0.97454053,2,256,true,true,0.0,15000.0,0.25628,674.249395,180.902694,80.352464,0.0,0.0,131.788232,146.174586,362.509328,116.847964,6.610738,327.479057,682.072101,674.254526,
ep_low.wav,ep_low.jet,2048,0,0.03143707,5203800,3698964,0.7108198,2,256,true,true,100.0,12500.0,0.18987,574.770164,181.332543,79.353005,0.0,0.0,126.209252,153.136992,259.590702,105.044023,5.780321,234.912123,573.107216,574.775899,
ep_low.wav,ep_low.jet,2048,0,0.031499166,5203800,2243484,0.43112418,2,256,true,true,200.0,10000.0,0.250846,482.941579,181.595463,76.329272,0.0,0.0,123.243778,146.1444,156.450511,118.455671,4.772107,140.611907,466.318441,482.946409,
ep_low.wav,ep_low.jet,2048,0,0.031499166,5203800,2243484,0.43112418,2,256,true,true,300.0,8000.0,0.201642,475.476879,182.409581,76.304217,0.0,0.0,124.534532,153.64472,156.274526,104.505203,4.700869,139.546039,468.126583,475.483218,
ep_low.wav,ep_low.jet,4096,0,0.03104774,5203800,5048424,0.9701418,2,256,true,true,0.0,0.0,0.183229,661.152285,185.042103,78.519569,0.0,0.0,150.32456,146.812719,358.964584,108.765355,6.032072,323.792439,700.551982,661.157416,
ep_low.wav,ep_low.jet,4096,0,0.03104774,5203800,5048424,0.9701418,2,256,true,true,0.0,15000.0,0.179607,670.311025,186.672752,79.174606,0.0,0.0,138.930244,147.474396,363.0729,116.780649,6.255147,323.561515,695.116687,670.317062,
ep_low.wav,ep_low.jet,4096,0,0.031075208,5203800,3658071,0.7029615,2,256,true,true,100.0,12500.0,0.222471,570.704711,182.938742,81.032253,0.0,0.0,127.618939,149.126779,254.128843,106.13887,5.793905,232.182099,570.708635,570.709842,
ep_low.wav,ep_low.jet,4096,0,0.031151235,5203800,2191169,0.42107093,2,256,true,true,200.0,10000.0,0.187154,469.887032,184.315224,78.919534,0.0,0.0,128.462336,154.527057,148.810128,102.710946,4.794445,132.414592,466.57472,469.892163,
ep_low.wav,ep_low.jet,4096,0,0.031151235,5203800,2191169,0.42107093,2,256,true,true,300.0,8000.0,0.179607,473.75537,182.825242,78.691025,0.0,0.0,113.083466,147.941978,149.462447,112.677464,4.706302,133.19007,450.261894,473.759898,
ep_low.wav,ep_low.jet,256,0,0.02700321,5203800,5261829,1.0111513,2,512,true,true,0.0,0.0,0.196208,687.720207,186.436698,80.607838,0.0,0.0,138.653438,150.973861,378.970065,109.180112,7.832064,343.487004,712.093908,687.725338,
ep_low.wav,ep_low.jet,256,0,0.02700321,5203800,5261829,1.0111513,2,512,true,true,0.0,15000.0,0.185342,697.257479,186.005641,88.90869,0.0,0.0,143.259824,150.914395,384.586778,109.131211,6.71971,344.851714,720.762125,697.262913,
ep_low.wav,ep_low.jet,256,0,0.027023932,5203800,3886025,0.7467668,2,512,true,true,100.0,12500.0,0.255676,621.548229,186.9565,83.118107,0.0,0.0,124.593697,152.650996,277.186131,124.507667,5.932157,258.760586,594.929292,621.55336,
ep_low.wav,ep_low.jet,256,0,0.02706025,5203800,2477034,0.47600484,2,512,true,true,200.0,10000.0,0.182625,518.574363,186.545367,93.873084,0.0,0.0,117.8761,150.778255,175.924719,110.191042,5.144603,162.117332,485.677942,518.579494,
ep_low.wav,ep_low.jet,256,0,0.02706025,5203800,2477034,0.47600484,2,512,true,true,300.0,8000.0,0.192587,506.880903,187.51796,80.903963,0.0,0.0,127.683537,158.782984,176.572813,103.549514,4.928773,161.960364,496.900801,506.886034,
ep_low.wav,ep_low.jet,512,0,0.022205248,5203800,5169701,0.9934473,2,512,true,true,0.0,0.0,0.212208,769.712074,267.212369,80.943808,0.0,0.0,128.170438,230.586768,372.689864,116.23066,6.171833,338.532573,774.461541,769.717206,
ep_low.wav,ep_low.jet,512,0,0.022205248,5203800,5169701,0.9934473,2,512,true,true,0.0,15000.0,0.219453,764.814392,265.306424,76.72984,0.0,0.0,141.777389,231.720555,373.326789,115.537589,6.509916,337.411464,787.145707,764.820127,
ep_low.wav,ep_low.jet,512,0,0.022238214,5203800,3797660,0.7297859,2,512,true,true,100.0,12500.0,0.183531,670.095194,266.305582,76.988836,0.0,0.0,130.393034,230.076624,271.126892,113.78197,23.383901,246.766172,691.398373,670.100025,
ep_low.wav,ep_low.jet,512,0,0.022293225,5203800,2379495,0.45726103,2,512,true,true,200.0,10000.0,0.184436,576.258033,266.918358,80.828498,0.0,0.0,123.794069,230.868101,169.613727,109.665503,4.969223,153.507072,565.484643,576.263466,
ep_low.wav,ep_low.jet,512,0,0.022293225,5203800,2379495,0.45726103,2,512,true,true,300.0,8000.0,0.196511,581.317813,267.75451,77.297941,0.0,0.0,123.215101,230.580429,168.61125,117.46557,4.620272,154.396956,564.403077,581.32385,
ep_low.wav,ep_low.jet,1024,0,0.019307006,5203800,5108723,0.9817293,2,512,true,true,0.0,0.0,0.181116,792.314459,297.074794,78.929193,0.0,0.0,134.051277,261.182713,367.535601,115.877181,6.079766,333.109052,804.927989,792.318986,
ep_low.wav,ep_low.jet,1024,0,0.019307006,5203800,5108723,0.9817293,2,512,true,true,0.0,15000.0,0.245111,791.546828,296.321954,78.742945,0.0,0.0,133.963738,261.327605,367.48338,115.327796,6.615568,332.752253,804.635184,791.55196,
ep_low.wav,ep_low.jet,1024,0,0.01934518,5203800,3738359,0.7183902,2,512,true,true,100.0,12500.0,0.187153,694.314041,297.371522,78.252725,0.0,0.0,130.819865,260.35471,264.798997,114.19099,5.889594,239.219668,699.072262,694.319173,
ep_low.wav,ep_low.jet,1024,0,0.01942763,5203800,2306851,0.44330123,2,512,true,true,200.0,10000.0,0.182021,593.431764,302.52005,79.333686,0.0,0.0,114.26072,259.853924,168.094164,106.054953,5.158187,146.963045,590.220575,593.436593,
ep_low.wav,ep_low.jet,1024,0,0.01942763,5203800,2306851,0.44330123,2,512,true,true,300.0,8000.0,0.217339,591.821642,296.76418,76.343158,0.0,0.0,123.448136,260.069452,162.18676,108.565222,4.80652,145.453442,587.428671,591.826773,
