original filename,compressed name,Window Length,Window Overlap,RMS Error,Input Size,Compress File Size,Compression Ratio,FilterBank Num SubBands ,FilterBank Length,Adaptive Byte Buff,Adaptive Huffman,Model f1,Model f2,Comp IO Time (ms),Decomp IO Time (ms),Comp Filter Bank Time (ms),Decomp Filter Bank Time (ms),Comp MDCT Time (ms),Decomp MDCT Time (ms),Comp Byte Bufferizer (ms),Decomp Byte Bufferizer (ms),Comp Huffman Time (ms),Decomp Huffman Time (ms),Comp Serialize Time (ms),Decomp Serialize Time (ms),Total Compression time (ms), Total Decompression time (ms),
hi_low_synth.wav,hi_low_synth.jet,256,0,0.13206543,2479268,2501771,1.0090765,2,256,true,true,0.0,0.0,0.150024,324.774691,77.086941,44.606483,0.0,0.0,72.672235,58.371307,187.255342,52.549934,48.912821,167.853883,386.080382,324.777107,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.13206543,2479268,2501771,1.0090765,2,256,true,true,0.0,15000.0,0.227301,325.628352,75.308682,46.352744,0.0,0.0,62.972864,59.343901,184.078264,52.183777,4.751883,166.508492,327.341106,325.630164,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.13208048,2479268,1851892,0.7469511,2,256,true,true,100.0,12500.0,0.205567,273.701156,76.338931,40.603516,0.0,0.0,59.224666,59.07283,133.499176,52.156912,4.456663,120.97892,273.727418,273.702967,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.13210648,2479268,1177054,0.47475868,2,256,true,true,200.0,10000.0,0.179607,232.365932,80.940488,44.988638,0.0,0.0,57.510402,60.031236,85.480767,50.486116,4.424364,76.247165,228.537439,232.368045,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.13210648,2479268,1177054,0.47475868,2,256,true,true,300.0,8000.0,0.190172,232.721221,75.491911,41.441478,0.0,0.0,56.933849,65.385029,84.262157,50.020346,1.182387,75.299928,218.061985,232.722731,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.13354322,2479268,2457671,0.99128896,2,256,true,true,0.0,0.0,0.182927,325.849917,82.877826,39.658089,0.0,0.0,62.587389,66.92361,177.875641,56.813407,4.889531,161.123306,328.415729,325.851427,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.13354322,2479268,2457671,0.99128896,2,256,true,true,0.0,15000.0,0.200737,326.951405,88.44926,40.656341,0.0,0.0,61.384174,65.862873,178.354994,57.754909,4.799276,161.370228,333.190855,326.953216,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.13355608,2479268,1806702,0.72872394,2,256,true,true,100.0,12500.0,0.192587,280.70069,81.862067,40.31705,0.0,0.0,58.785158,66.22903,129.989447,57.33804,4.771202,115.944194,275.602573,280.702501,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.13359101,2479268,1123428,0.4531289,2,256,true,true,200.0,10000.0,0.177796,228.123589,81.031951,40.641248,0.0,0.0,61.545669,65.487057,80.825177,50.353297,4.431308,71.100148,228.014013,228.125702,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.13359101,2479268,1123428,0.4531289,2,256,true,true,300.0,8000.0,0.253261,232.681677,82.231241,40.424512,0.0,0.0,62.430422,66.178317,80.514261,54.509006,4.289131,70.941067,229.728579,232.683791,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.13407098,2479268,2432790,0.9812533,2,256,true,true,0.0,0.0,0.175079,327.845817,85.258598,39.276236,0.0,0.0,60.853805,69.469801,175.682627,56.985769,4.826744,160.808164,326.798966,327.847326,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.13407098,2479268,2432790,0.9812533,2,256,true,true,0.0,15000.0,0.214924,323.950613,84.38592,40.048696,0.0,0.0,65.987542,71.650137,176.84026,51.869541,4.790823,159.00787,332.221884,323.952726,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.1340818,2479268,1781342,0.71849513,2,256,true,true,100.0,12500.0,0.218244,279.46578,84.507268,40.23917,0.0,0.0,57.831581,68.84978,126.593218,55.062617,4.748261,114.509755,273.900685,279.467894,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.13411435,2479268,1089127,0.43929377,2,256,true,true,200.0,10000.0,0.19953,240.640222,85.263125,41.090416,0.0,0.0,60.800376,69.462556,76.449714,61.353686,4.391462,68.079433,227.106622,240.642032,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.13411435,2479268,1089127,0.43929377,2,256,true,true,300.0,8000.0,0.191983,234.929328,86.555087,41.374466,0.0,0.0,55.390136,71.239909,76.201887,51.033388,4.062736,67.738633,222.40364,234.93114,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.13452876,2479268,2420655,0.9763588,2,256,true,true,0.0,0.0,0.17538,329.639772,86.242361,41.371146,0.0,0.0,66.488025,70.317726,177.182268,56.652213,4.766373,159.981671,334.856218,329.642187,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.13452876,2479268,2420655,0.9763588,2,256,true,true,0.0,15000.0,0.203454,322.700309,86.941468,40.139254,0.0,0.0,63.725703,69.869464,175.670854,52.626304,4.901907,158.814076,331.445802,322.702421,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.13454482,2479268,1771168,0.7143915,2,256,true,true,100.0,12500.0,0.173268,280.899917,90.837577,39.716951,0.0,0.0,58.828625,69.711289,125.970179,57.74374,4.508886,112.826583,280.322157,280.902333,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.13457535,2479268,1070571,0.4318093,2,256,true,true,200.0,10000.0,0.178701,233.180049,85.558647,40.041452,0.0,0.0,59.483964,70.559817,74.918678,54.560323,4.252305,67.485372,224.394408,233.18186,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.13457535,2479268,1070571,0.4318093,2,256,true,true,300.0,8000.0,0.211302,232.40457,86.46302,44.636065,0.0,0.0,59.312809,71.044304,75.946815,49.49209,4.089904,66.643785,226.02566,232.406683,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.13475598,2479268,2409954,0.97204256,2,256,true,true,0.0,0.0,0.217339,326.721991,87.836786,39.799661,0.0,0.0,60.053574,70.359987,173.46818,55.975443,4.69453,159.276525,326.273427,326.724105,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.13475598,2479268,2409954,0.97204256,2,256,true,true,0.0,15000.0,0.18172,326.437036,87.413879,40.646078,0.0,0.0,64.617097,70.734897,175.873704,57.205825,4.705698,156.515712,332.794513,326.438847,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.13477062,2479268,1763060,0.7111212,2,256,true,true,100.0,12500.0,0.200133,277.700501,87.990734,39.939724,0.0,0.0,61.817343,70.494314,123.720113,54.792453,4.459381,111.621255,278.189817,277.702313,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.13480169,2479268,1057056,0.4263581,2,256,true,true,200.0,10000.0,0.196813,228.963364,88.099102,39.991947,0.0,0.0,58.974725,71.860835,72.820751,51.185224,4.254417,65.375671,224.347922,228.965175,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.13480169,2479268,1057056,0.4263581,2,256,true,true,300.0,8000.0,0.214321,231.039256,92.20923,40.254263,0.0,0.0,57.425881,72.408107,73.176946,53.386992,4.242645,64.507522,227.271136,231.041068,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.10908266,2479268,2503117,1.0096194,2,512,true,true,0.0,0.0,0.221867,336.091128,89.09675,40.291391,0.0,0.0,66.843919,72.74921,181.399858,57.038897,4.723508,164.661711,342.287714,336.093543,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.10908266,2479268,2503117,1.0096194,2,512,true,true,0.0,15000.0,0.193191,343.124168,123.344598,48.038029,0.0,0.0,66.068441,71.984598,182.068478,56.754846,4.731055,164.886899,376.407875,343.12598,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.1091093,2479268,1854262,0.74790704,2,512,true,true,100.0,12500.0,0.181116,289.453428,88.789154,40.458019,0.0,0.0,64.277504,76.512802,135.709999,51.089535,4.509188,120.306979,293.469376,289.455239,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.10913952,2479268,1178697,0.47542137,2,512,true,true,200.0,10000.0,0.198925,245.922171,88.564872,40.958805,0.0,0.0,56.614482,72.714496,83.678057,55.062919,4.202196,76.568043,233.260645,245.923982,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.10913952,2479268,1178697,0.47542137,2,512,true,true,300.0,8000.0,0.182022,243.222333,89.359972,40.83474,0.0,0.0,62.324166,73.618869,83.697981,51.887652,4.293961,76.31931,239.860214,243.224447,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.09879829,2479268,2459179,0.9918972,2,512,true,true,0.0,0.0,0.185644,370.814407,127.897857,44.896571,0.0,0.0,65.64161,110.094748,176.550173,52.68245,4.735281,161.778645,375.012678,370.815916,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.09879829,2479268,2459179,0.9918972,2,512,true,true,0.0,15000.0,0.195304,370.578352,126.794558,40.819949,0.0,0.0,61.551405,110.15029,178.819557,56.063284,4.779957,162.133633,372.143195,370.580163,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.09882787,2479268,1808549,0.72946894,2,512,true,true,100.0,12500.0,0.180814,322.029273,126.953036,38.692438,0.0,0.0,58.589552,110.33684,129.796558,55.776819,4.427686,116.319709,319.95006,322.031084,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.098871596,2479268,1125121,0.45381176,2,512,true,true,200.0,10000.0,0.239073,272.621402,127.246141,40.861908,0.0,0.0,59.123845,110.031659,79.317386,49.810552,4.245965,71.420723,270.17392,272.622911,
hi_low_synth.wav,hi_low_synth.jet,512,0,0.098871596,2479268,1125121,0.45381176,2,512,true,true,300.0,8000.0,0.192587,286.374756,131.054108,41.448422,0.0,0.0,55.591778,110.508598,79.199962,62.133089,4.073302,71.672475,270.11385,286.376265,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.09172396,2479268,2434503,0.98194426,2,512,true,true,0.0,0.0,0.203453,378.647376,141.860703,40.458622,0.0,0.0,65.128447,123.74728,179.057424,52.342858,4.834592,160.768922,391.086733,378.649188,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.09172396,2479268,2434503,0.98194426,2,512,true,true,0.0,15000.0,0.182323,382.762032,145.233386,40.124161,0.0,0.0,61.806476,125.463657,175.8405,56.097093,4.79203,159.630306,387.856829,382.763844,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.09175304,2479268,1783705,0.71944827,2,512,true,true,100.0,12500.0,0.230923,339.977276,140.695824,40.083109,0.0,0.0,62.412008,124.389035,128.069616,60.150169,4.465417,114.503416,335.875902,339.978785,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.09180058,2479268,1091630,0.44030336,2,512,true,true,200.0,10000.0,0.20919,291.733679,141.20808,41.253118,0.0,0.0,59.452571,129.469945,76.849678,50.454421,4.297584,70.033675,282.018611,291.735491,
hi_low_synth.wav,hi_low_synth.jet,1024,0,0.09180058,2479268,1091630,0.44030336,2,512,true,true,300.0,8000.0,0.218547,295.084629,141.616799,46.759953,0.0,0.0,59.295,129.760637,76.615435,49.645435,4.289433,68.392764,282.037327,295.087045,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.08844216,2479268,2422683,0.9771767,2,512,true,true,0.0,0.0,0.296125,387.099461,158.52761,40.446849,0.0,0.0,64.585703,134.767592,174.950616,51.964929,4.956242,158.639299,403.319315,387.102179,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.08844216,2479268,2422683,0.9771767,2,512,true,true,0.0,15000.0,0.177192,386.304664,148.602146,39.818075,0.0,0.0,64.140157,131.881205,174.819005,55.213246,4.855723,158.112553,392.596336,386.306475,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.08847478,2479268,1772753,0.7150308,2,512,true,true,100.0,12500.0,0.181116,340.944738,149.722651,39.571455,0.0,0.0,62.461211,131.545536,128.081691,55.55797,4.613932,113.360574,345.062715,340.946549,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.08852328,2479268,1073085,0.43282333,2,512,true,true,200.0,10000.0,0.181117,289.545193,152.177679,38.5889,0.0,0.0,57.86056,131.775252,75.158054,51.925083,4.075113,66.795017,289.454334,289.547004,
hi_low_synth.wav,hi_low_synth.jet,2048,0,0.08852328,2479268,1073085,0.43282333,2,512,true,true,300.0,8000.0,0.215227,292.922103,149.510141,39.745025,0.0,0.0,63.400298,131.60621,75.853238,53.456118,4.139409,67.532764,293.120123,292.923612,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.0867722,2479268,2412831,0.973203,2,512,true,true,0.0,0.0,0.256279,390.555761,153.234794,40.453491,0.0,0.0,66.247746,138.769654,174.064354,52.256827,4.783276,157.915136,398.588562,390.557271,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.0867722,2479268,2412831,0.973203,2,512,true,true,0.0,15000.0,0.152439,394.50047,153.734373,41.021893,0.0,0.0,62.085999,135.135559,175.292019,59.896909,4.993069,157.049401,396.260315,394.502281,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.086805545,2479268,1765389,0.7120606,2,512,true,true,100.0,12500.0,0.26292,345.712921,154.506532,41.38986,0.0,0.0,70.719501,135.561787,124.173507,55.312859,4.691813,112.492122,354.356084,345.715337,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.08685596,2479268,1060090,0.42758185,2,512,true,true,200.0,10000.0,0.219754,292.596396,152.179491,39.551834,0.0,0.0,57.873238,135.006967,73.470052,51.1813,4.261662,66.139075,288.00631,292.597906,
hi_low_synth.wav,hi_low_synth.jet,4096,0,0.08685596,2479268,1060090,0.42758185,2,512,true,true,300.0,8000.0,0.191681,302.507674,154.661083,42.675785,0.0,0.0,54.348115,138.642873,74.077395,54.373471,3.913315,66.133944,287.193401,302.509182,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.09408149,2479268,2503811,1.0098993,2,1024,true,true,0.0,0.0,0.177795,335.059068,88.001903,40.283241,0.0,0.0,66.553832,72.136736,183.527067,57.431013,4.818594,163.848198,343.081003,335.060879,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.09408149,2479268,2503811,1.0098993,2,1024,true,true,0.0,15000.0,0.241489,342.101164,88.298027,40.528956,0.0,0.0,69.08674,72.637823,183.502315,63.087571,4.742224,164.598321,345.872907,342.103277,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.09412017,2479268,1854787,0.7481188,2,1024,true,true,100.0,12500.0,0.190172,293.198004,89.06445,43.867831,0.0,0.0,63.539456,72.377318,133.692668,55.872509,4.480812,120.225176,290.969672,293.199512,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.09415572,2479268,1178995,0.47554156,2,1024,true,true,200.0,10000.0,0.215226,264.087211,89.391969,43.482356,0.0,0.0,56.248627,72.629371,85.310215,53.619424,4.366106,93.657857,235.533954,264.089626,
hi_low_synth.wav,hi_low_synth.jet,256,0,0.09415572,2479268,1178995,0.47554156,2,1024,true,true,300.0,8000.0,0.308199,261.832617,102.394597,41.40435,0.0,0.0,61.405002,72.921874,85.389001,54.40245,4.243853,92.51924,253.743368,261.83473,
