original filename,compressed name,Window Length,Window Overlap,RMS Error,Input Size,Compress File Size,Compression Ratio,FilterBank Num SubBands ,FilterBank Length,Adaptive Byte Buff,Adaptive Huffman,Model f1,Model f2,Comp IO Time (ms),Decomp IO Time (ms),Comp Filter Bank Time (ms),Decomp Filter Bank Time (ms),Comp MDCT Time (ms),Decomp MDCT Time (ms),Comp Byte Bufferizer (ms),Decomp Byte Bufferizer (ms),Comp Huffman Time (ms),Decomp Huffman Time (ms),Comp Serialize Time (ms),Decomp Serialize Time (ms),Total Compression time (ms), Total Decompression time (ms),
hihat.wav,hihat.jet,256,0,0.009862037,3131100,3122564,0.9972738,2,256,true,true,0.0,0.0,0.115915,407.647688,99.254043,48.217334,0.0,0.0,91.789946,73.687693,237.573322,77.560861,5.036235,206.325661,433.774291,407.651612,
hihat.wav,hihat.jet,256,0,0.009862037,3131100,3122564,0.9972738,2,256,true,true,0.0,15000.0,0.209491,406.184572,95.255301,48.674049,0.0,0.0,78.067684,73.653583,230.943869,74.901774,5.060988,207.14974,409.541257,406.189099,
hihat.wav,hihat.jet,256,0,0.0098898625,3131100,2293725,0.73256207,2,256,true,true,100.0,12500.0,0.177494,351.899546,95.069657,50.373522,0.0,0.0,75.238349,74.288395,170.062292,73.722407,4.801991,152.152927,345.353104,351.902866,
hihat.wav,hihat.jet,256,0,0.009947949,3131100,1429196,0.4564517,2,256,true,true,200.0,10000.0,0.181116,292.736761,95.118559,49.360781,0.0,0.0,71.846044,73.51352,111.0444,74.516299,4.132767,94.70652,282.326811,292.740081,
hihat.wav,hihat.jet,256,0,0.009947949,3131100,1429196,0.4564517,2,256,true,true,300.0,8000.0,0.173569,293.376705,95.028001,49.643926,0.0,0.0,72.185335,73.830473,107.712467,71.914868,5.653539,97.264181,280.756534,293.380025,
hihat.wav,hihat.jet,512,0,0.009235012,3131100,3064058,0.97858834,2,256,true,true,0.0,0.0,0.179003,410.619199,104.016793,48.694877,0.0,0.0,76.696938,81.890744,233.173709,75.768113,5.063705,202.458832,419.133468,410.62252,
hihat.wav,hihat.jet,512,0,0.009235012,3131100,3064058,0.97858834,2,256,true,true,0.0,15000.0,0.187455,412.123671,102.821124,48.461238,0.0,0.0,77.635421,82.922501,227.829577,76.574382,6.708239,202.15818,415.185741,412.127293,
hihat.wav,hihat.jet,512,0,0.009269919,3131100,2231572,0.7127118,2,256,true,true,100.0,12500.0,0.230621,353.064726,104.154441,47.978865,0.0,0.0,74.053246,82.966272,165.387685,74.504224,4.709019,146.282653,348.538031,353.068348,
hihat.wav,hihat.jet,512,0,0.009347905,3131100,1347718,0.43042955,2,256,true,true,200.0,10000.0,0.178399,286.076518,103.511178,47.366089,0.0,0.0,76.066049,82.274709,102.522283,68.127429,4.213063,87.609786,286.49399,286.08014,
hihat.wav,hihat.jet,512,0,0.009347905,3131100,1347718,0.43042955,2,256,true,true,300.0,8000.0,0.211001,290.026358,103.091893,50.358731,0.0,0.0,76.412283,82.662599,102.49089,67.102916,5.016916,89.224436,287.226002,290.02998,
hihat.wav,hihat.jet,1024,0,0.008913031,3131100,3019961,0.9645048,2,256,true,true,0.0,0.0,0.206472,412.199437,112.697386,49.943975,0.0,0.0,77.473624,87.271099,225.452126,74.794916,5.057969,198.445299,420.891501,412.203362,
hihat.wav,hihat.jet,1024,0,0.008913031,3131100,3019961,0.9645048,2,256,true,true,0.0,15000.0,0.197115,412.106465,107.477016,48.737138,0.0,0.0,76.279767,86.184704,224.132091,73.879978,5.167847,201.480504,413.256854,412.110389,
hihat.wav,hihat.jet,1024,0,0.008953942,3131100,2187653,0.6986851,2,256,true,true,100.0,12500.0,0.235451,349.599673,109.103741,46.987254,0.0,0.0,80.386272,92.312768,162.610873,66.929044,4.825839,142.062345,357.174552,349.603296,
hihat.wav,hihat.jet,1024,0,0.009059553,3131100,1288563,0.41153684,2,256,true,true,200.0,10000.0,0.192888,294.606785,107.678659,48.306987,0.0,0.0,71.06,87.472138,96.641142,74.019136,4.099865,84.128131,279.675573,294.610407,
hihat.wav,hihat.jet,1024,0,0.009059553,3131100,1288563,0.41153684,2,256,true,true,300.0,8000.0,0.178701,291.10581,107.712165,48.871163,0.0,0.0,75.344,86.022606,97.490576,71.989126,4.18016,83.527127,284.909526,291.109735,
hihat.wav,hihat.jet,2048,0,0.008726626,3131100,2973925,0.949802,2,256,true,true,0.0,0.0,0.201944,398.526982,110.143348,47.058191,0.0,0.0,82.260522,88.016694,221.205859,68.407253,4.874438,193.252097,418.689734,398.530605,
