original filename,compressed name,Window Length,Window Overlap,RMS Error,Input Size,Compress File Size,Compression Ratio,FilterBank Num SubBands ,FilterBank Length,Adaptive Byte Buff,Adaptive Huffman,Model f1,Model f2,Comp IO Time (ms),Decomp IO Time (ms),Comp Filter Bank Time (ms),Decomp Filter Bank Time (ms),Comp MDCT Time (ms),Decomp MDCT Time (ms),Comp Byte Bufferizer (ms),Decomp Byte Bufferizer (ms),Comp Huffman Time (ms),Decomp Huffman Time (ms),Comp Serialize Time (ms),Decomp Serialize Time (ms),Total Compression time (ms), Total Decompression time (ms),
square_overtones.wav,square_overtones.jet,256,0,0.017553145,2173134,2188243,1.0069526,2,256,true,true,0.0,0.0,0.130403,281.30592,68.189612,36.074103,0.0,0.0,72.94723,51.342191,168.343802,46.344292,4.535147,146.462259,314.148912,281.30773,
square_overtones.wav,square_overtones.jet,256,0,0.017553145,2173134,2188243,1.0069526,2,256,true,true,0.0,15000.0,0.185946,287.005946,71.801066,39.720876,0.0,0.0,54.114475,52.506768,161.874335,47.129431,4.795049,146.573041,292.772682,287.007757,
square_overtones.wav,square_overtones.jet,256,0,0.017679758,2173134,1624658,0.74761057,2,256,true,true,100.0,12500.0,0.185946,243.786208,65.882796,36.267897,0.0,0.0,52.981896,51.450257,118.677236,48.341399,4.321129,107.005209,242.050814,243.788019,
square_overtones.wav,square_overtones.jet,256,0,0.01794276,2173134,1028735,0.47338775,2,256,true,true,200.0,10000.0,0.183833,205.295714,65.973052,35.880309,0.0,0.0,49.142235,52.947785,75.487987,47.795938,4.518243,68.148256,195.307764,205.297828,
square_overtones.wav,square_overtones.jet,256,0,0.01794276,2173134,1028735,0.47338775,2,256,true,true,300.0,8000.0,0.222169,205.535391,66.612392,35.8139,0.0,0.0,49.40123,52.951709,75.911497,47.931473,4.145144,68.406649,196.302092,205.5369,
square_overtones.wav,square_overtones.jet,512,0,0.0124951685,2173134,2152027,0.9902873,2,256,true,true,0.0,0.0,0.182021,286.812755,71.430081,36.065953,0.0,0.0,61.177702,57.478103,159.051337,46.350631,4.604576,145.805412,296.44783,286.814566,
square_overtones.wav,square_overtones.jet,512,0,0.0124951685,2173134,2152027,0.9902873,2,256,true,true,0.0,15000.0,0.205869,288.34711,72.197711,35.293794,0.0,0.0,58.01964,57.132473,158.396,48.784832,4.476888,146.005846,293.298221,288.348921,
square_overtones.wav,square_overtones.jet,512,0,0.012664118,2173134,1592323,0.73273116,2,256,true,true,100.0,12500.0,0.213113,250.504409,71.743713,35.452271,0.0,0.0,51.094062,57.523986,115.612149,50.589955,4.577407,106.127702,243.243766,250.506521,
square_overtones.wav,square_overtones.jet,512,0,0.013061782,2173134,985038,0.4532799,2,256,true,true,200.0,10000.0,0.204963,210.289085,71.220288,35.550375,0.0,0.0,53.442836,62.258965,73.182379,46.902733,4.466927,65.148069,202.519506,210.290897,
square_overtones.wav,square_overtones.jet,512,0,0.013061782,2173134,985038,0.4532799,2,256,true,true,300.0,8000.0,0.184134,208.206552,72.992207,35.466157,0.0,0.0,48.281631,58.730219,77.183234,48.668615,4.083565,64.967254,202.726582,208.208363,
square_overtones.wav,square_overtones.jet,1024,0,0.008819044,2173134,2132437,0.9812727,2,256,true,true,0.0,0.0,0.182022,295.931347,75.301739,35.861291,0.0,0.0,58.487524,60.115456,155.526818,55.578798,4.534544,143.169569,294.034759,295.933159,
