original filename,compressed name,Window Length,Window Overlap,RMS Error,Input Size,Compress File Size,Compression Ratio,FilterBank Num SubBands ,FilterBank Length,Adaptive Byte Buff,Adaptive Huffman,Model f1,Model f2,Comp IO Time (ms),Decomp IO Time (ms),Comp Filter Bank Time (ms),Decomp Filter Bank Time (ms),Comp MDCT Time (ms),Decomp MDCT Time (ms),Comp Byte Bufferizer (ms),Decomp Byte Bufferizer (ms),Comp Huffman Time (ms),Decomp Huffman Time (ms),Comp Serialize Time (ms),Decomp Serialize Time (ms),Total Compression time (ms), Total Decompression time (ms),
synth_bass.wav,synth_bass.jet,256,0,0.1191297,2812084,2836621,1.0087255,2,256,true,true,0.0,0.0,0.141271,362.179394,86.648663,48.908292,0.0,0.0,79.985704,67.611248,205.948034,59.741149,5.057366,184.539506,377.783452,362.181206,
synth_bass.wav,synth_bass.jet,256,0,0.1191297,2812084,2836621,1.0087255,2,256,true,true,0.0,15000.0,0.196511,364.427045,87.185975,44.683155,0.0,0.0,72.899838,66.025274,210.460542,63.874823,4.906737,188.318493,375.65081,364.429159,
synth_bass.wav,synth_bass.jet,256,0,0.119159564,2812084,2096416,0.74550265,2,256,true,true,100.0,12500.0,0.190172,310.656992,84.861652,46.142951,0.0,0.0,72.25114,66.099834,149.644167,61.708975,4.623593,135.675889,311.572535,310.659407,
synth_bass.wav,synth_bass.jet,256,0,0.11917388,2812084,1332660,0.47390476,2,256,true,true,200.0,10000.0,0.195907,269.216117,85.133326,56.68089,0.0,0.0,69.392524,65.689304,94.689917,58.044393,4.515829,88.102724,253.929314,269.217627,
synth_bass.wav,synth_bass.jet,256,0,0.11917388,2812084,1332660,0.47390476,2,256,true,true,300.0,8000.0,0.262015,258.412541,84.957945,44.510189,0.0,0.0,64.026054,66.077798,94.152606,61.15476,4.26287,86.096562,247.663602,258.414051,
synth_bass.wav,synth_bass.jet,512,0,0.121313974,2812084,2802186,0.99648017,2,256,true,true,0.0,0.0,0.226395,368.796774,92.575991,44.447403,0.0,0.0,68.802689,74.859212,201.645621,64.319463,4.830367,183.658376,368.082572,368.798283,
synth_bass.wav,synth_bass.jet,512,0,0.121313974,2812084,2802186,0.99648017,2,256,true,true,0.0,15000.0,0.17357,366.311256,93.013385,48.246011,0.0,0.0,75.651897,73.77161,202.405404,59.240363,4.989446,183.632114,376.23491,366.312766,
synth_bass.wav,synth_bass.jet,512,0,0.12134036,2812084,2056639,0.7313576,2,256,true,true,100.0,12500.0,0.206473,316.546285,92.178138,45.477652,0.0,0.0,66.027387,73.748668,145.807827,61.705354,5.146716,134.505275,309.368653,316.547794,
synth_bass.wav,synth_bass.jet,512,0,0.12136432,2812084,1284274,0.4566983,2,256,true,true,200.0,10000.0,0.211302,261.120831,92.365292,44.573279,0.0,0.0,67.492012,79.041183,89.275753,54.392186,4.350108,82.478465,253.695976,261.122642,
synth_bass.wav,synth_bass.jet,512,0,0.12136432,2812084,1284274,0.4566983,2,256,true,true,300.0,8000.0,0.197417,262.26639,93.18786,44.665647,0.0,0.0,62.82767,74.113316,90.352186,60.811243,4.817689,82.042881,251.384633,262.2679,
synth_bass.wav,synth_bass.jet,1024,0,0.122415915,2812084,2782632,0.9895266,2,256,true,true,0.0,0.0,0.253562,366.017245,95.823101,44.858536,0.0,0.0,72.505608,76.838208,197.950853,58.467601,4.97375,184.436572,371.508685,366.019358,
synth_bass.wav,synth_bass.jet,1024,0,0.122415915,2812084,2782632,0.9895266,2,256,true,true,0.0,15000.0,0.228509,368.059933,96.211292,44.75047,0.0,0.0,75.578244,77.642967,197.606429,64.759273,4.991862,179.386451,374.618449,368.061743,
synth_bass.wav,synth_bass.jet,1024,0,0.122437105,2812084,2040087,0.72547156,2,256,true,true,100.0,12500.0,0.201341,314.991705,98.684433,44.20682,0.0,0.0,64.585099,77.409931,142.429407,61.874696,4.63778,130.415674,310.539871,314.993817,
synth_bass.wav,synth_bass.jet,1024,0,0.12246721,2812084,1259512,0.44789273,2,256,true,true,200.0,10000.0,0.230923,264.862388,96.013574,44.729039,0.0,0.0,67.630265,78.697062,85.624754,59.999541,4.534242,80.796199,254.035871,264.864199,
synth_bass.wav,synth_bass.jet,1024,0,0.12246721,2812084,1259512,0.44789273,2,256,true,true,300.0,8000.0,0.160891,257.858628,96.827087,43.600987,0.0,0.0,66.441842,77.552107,85.106761,55.862245,4.079339,80.104033,252.617128,257.860439,
synth_bass.wav,synth_bass.jet,2048,0,0.12296279,2812084,2764611,0.98311824,2,256,true,true,0.0,0.0,0.221867,370.984353,99.223555,45.633411,0.0,0.0,72.925798,83.675643,196.602745,59.248815,4.972844,180.850774,373.948621,370.986769,
synth_bass.wav,synth_bass.jet,2048,0,0.12296279,2812084,2764611,0.98311824,2,256,true,true,0.0,15000.0,0.217339,366.886904,98.666623,44.748659,0.0,0.0,68.592293,80.134521,196.768466,63.505647,4.864477,176.93112,369.112217,366.888715,
synth_bass.wav,synth_bass.jet,2048,0,0.122978754,2812084,2028120,0.721216,2,256,true,true,100.0,12500.0,0.21432,322.09206,98.649116,44.827143,0.0,0.0,71.502829,78.780376,142.403145,68.162444,4.66223,129.31328,317.43315,322.093569,
synth_bass.wav,synth_bass.jet,2048,0,0.12300751,2812084,1246160,0.44314465,2,256,true,true,200.0,10000.0,0.183229,269.754032,97.608905,58.030205,0.0,0.0,65.718584,78.989867,82.469712,55.288712,4.199479,76.839717,250.181418,269.756145,
synth_bass.wav,synth_bass.jet,2048,0,0.12300751,2812084,1246160,0.44314465,2,256,true,true,300.0,8000.0,0.30669,262.272729,103.742704,45.244011,0.0,0.0,62.097469,78.966624,82.248146,60.536249,5.460953,76.855715,253.858377,262.274843,
synth_bass.wav,synth_bass.jet,4096,0,0.12319308,2812084,2759706,0.98137397,2,256,true,true,0.0,0.0,0.246016,360.949616,97.655391,44.272324,0.0,0.0,72.858182,79.252485,196.006269,58.80659,5.066723,177.190117,371.834392,360.951729,
synth_bass.wav,synth_bass.jet,4096,0,0.12319308,2812084,2759706,0.98137397,2,256,true,true,0.0,15000.0,0.200435,362.656635,97.995286,44.065549,0.0,0.0,81.404447,80.562257,196.947167,58.269581,4.988542,178.344127,381.537688,362.658447,
synth_bass.wav,synth_bass.jet,4096,0,0.12320346,2812084,2021995,0.7190379,2,256,true,true,100.0,12500.0,0.226395,315.497925,98.311636,44.696437,0.0,0.0,71.216967,84.760831,141.439004,57.79566,4.546014,127.316475,315.741526,315.499735,
synth_bass.wav,synth_bass.jet,4096,0,0.1232319,2812084,1235512,0.43935814,2,256,true,true,200.0,10000.0,0.195001,262.145345,97.985929,45.149832,0.0,0.0,62.362502,80.163499,81.289137,60.978474,4.509489,75.273666,246.343266,262.147457,
synth_bass.wav,synth_bass.jet,4096,0,0.1232319,2812084,1235512,0.43935814,2,256,true,true,300.0,8000.0,0.19621,255.0791,99.582768,44.808428,0.0,0.0,68.375256,79.877638,80.778992,55.826022,4.298791,73.994987,253.23413,255.081212,
synth_bass.wav,synth_bass.jet,256,0,0.099996746,2812084,2835807,1.0084361,2,512,true,true,0.0,0.0,0.217943,373.699888,99.910287,45.771361,0.0,0.0,74.252474,81.562924,205.479849,59.784617,4.793842,185.060215,384.655904,373.702001,
synth_bass.wav,synth_bass.jet,256,0,0.099996746,2812084,2835807,1.0084361,2,512,true,true,0.0,15000.0,0.231225,376.513527,100.150266,45.290498,0.0,0.0,77.172367,86.226663,206.390863,58.824098,4.890135,184.702209,388.83727,376.515338,
synth_bass.wav,synth_bass.jet,256,0,0.10003119,2812084,2095945,0.74533516,2,512,true,true,100.0,12500.0,0.219754,326.620265,100.129438,45.581189,0.0,0.0,66.598205,82.808097,149.362531,62.573503,4.709321,134.628133,321.020759,326.622076,
synth_bass.wav,synth_bass.jet,256,0,0.100050256,2812084,1332140,0.47371984,2,512,true,true,200.0,10000.0,0.198322,268.393247,100.115552,45.182734,0.0,0.0,63.769171,81.167487,98.47132,55.717352,4.499226,85.579174,267.055705,268.394755,
synth_bass.wav,synth_bass.jet,256,0,0.100050256,2812084,1332140,0.47371984,2,512,true,true,300.0,8000.0,0.228509,274.948744,100.533326,45.016711,0.0,0.0,68.921019,86.734694,94.452052,56.143579,4.403838,86.434343,268.53995,274.950857,
synth_bass.wav,synth_bass.jet,512,0,0.09563718,2812084,2800429,0.9958554,2,512,true,true,0.0,0.0,0.177192,415.917752,143.766346,46.922355,0.0,0.0,68.590482,123.0041,201.830661,63.330569,4.948394,181.201838,419.315188,415.920167,
synth_bass.wav,synth_bass.jet,512,0,0.09563718,2812084,2800429,0.9958554,2,512,true,true,0.0,15000.0,0.303369,415.950654,158.57621,45.325816,0.0,0.0,75.229293,123.669098,199.633119,63.573566,5.072157,181.896418,438.817167,415.952768,
synth_bass.wav,synth_bass.jet,512,0,0.09567561,2812084,2055645,0.7310041,2,512,true,true,100.0,12500.0,0.212208,379.478699,144.164499,53.069435,0.0,0.0,71.211534,136.036008,145.0734,57.723817,4.716868,131.656621,365.380018,379.481114,
synth_bass.wav,synth_bass.jet,512,0,0.09570318,2812084,1283936,0.4565781,2,512,true,true,200.0,10000.0,0.305483,311.104652,152.106441,45.278424,0.0,0.0,63.529796,124.657691,90.727096,56.093772,4.612424,84.495193,311.283654,311.106463,
synth_bass.wav,synth_bass.jet,512,0,0.09570318,2812084,1283936,0.4565781,2,512,true,true,300.0,8000.0,0.237866,314.184531,145.291947,44.834991,0.0,0.0,62.407178,124.150868,89.030039,62.429817,4.213364,82.18868,301.181903,314.186342,
synth_bass.wav,synth_bass.jet,1024,0,0.09294949,2812084,2782176,0.98936445,2,512,true,true,0.0,0.0,0.1947,430.749954,164.827131,43.948428,0.0,0.0,69.1939,142.968227,198.834397,58.741388,4.858138,179.689519,437.909776,430.752066,
synth_bass.wav,synth_bass.jet,1024,0,0.09294949,2812084,2782176,0.98936445,2,512,true,true,0.0,15000.0,0.197417,427.985518,162.724675,44.015441,0.0,0.0,73.521367,139.985546,196.710811,62.578333,4.987334,179.809056,438.143114,427.987631,
synth_bass.wav,synth_bass.jet,1024,0,0.09298298,2812084,2040387,0.72557825,2,512,true,true,100.0,12500.0,0.18021,381.471279,160.788846,47.444573,0.0,0.0,70.167399,140.396077,142.01767,61.908807,4.821009,130.741682,377.976945,381.472788,
synth_bass.wav,synth_bass.jet,1024,0,0.093020454,2812084,1259857,0.44801542,2,512,true,true,200.0,10000.0,0.182927,323.256335,160.218933,44.715455,0.0,0.0,66.550209,141.275697,85.638036,58.113519,4.325053,78.59111,316.916969,323.258448,
synth_bass.wav,synth_bass.jet,1024,0,0.093020454,2812084,1259857,0.44801542,2,512,true,true,300.0,8000.0,0.198322,325.494326,165.892396,44.433818,0.0,0.0,65.767787,140.920409,85.967365,59.562749,4.137296,80.009551,321.964675,325.49644,
synth_bass.wav,synth_bass.jet,2048,0,0.09169128,2812084,2765833,0.98355275,2,512,true,true,0.0,0.0,0.182927,439.566384,167.44124,46.237736,0.0,0.0,73.927068,148.986414,197.508929,64.400662,4.805011,178.310018,443.866684,439.568497,
synth_bass.wav,synth_bass.jet,2048,0,0.09169128,2812084,2765833,0.98355275,2,512,true,true,0.0,15000.0,0.184437,439.187851,168.783914,45.055349,0.0,0.0,74.354502,148.617239,195.62351,65.540789,5.067931,178.547883,444.016105,439.189964,
synth_bass.wav,synth_bass.jet,2048,0,0.0917225,2812084,2028122,0.72121674,2,512,true,true,100.0,12500.0,0.239979,393.67126,170.766229,55.925636,0.0,0.0,71.413479,151.261232,139.575621,57.400827,4.61514,127.936798,386.611957,393.673373,
synth_bass.wav,synth_bass.jet,2048,0,0.09176062,2812084,1247059,0.44346434,2,512,true,true,200.0,10000.0,0.197115,331.759736,168.098993,44.81205,0.0,0.0,62.649874,148.763943,83.544635,61.108274,4.401725,76.507369,318.894154,331.761547,
synth_bass.wav,synth_bass.jet,2048,0,0.09176062,2812084,1247059,0.44346434,2,512,true,true,300.0,8000.0,0.206775,331.694232,169.528301,43.432548,0.0,0.0,66.716232,149.1301,85.865638,61.227508,4.133976,77.093582,326.452732,331.695742,
synth_bass.wav,synth_bass.jet,4096,0,0.090712145,2812084,2760904,0.98179996,2,512,true,true,0.0,0.0,0.213114,442.045863,173.022936,50.08283,0.0,0.0,72.816525,153.096542,195.988157,58.56963,4.927566,178.761298,446.970108,442.047977,
synth_bass.wav,synth_bass.jet,4096,0,0.090712145,2812084,2760904,0.98179996,2,512,true,true,0.0,15000.0,0.203756,440.081358,173.999152,45.638845,0.0,0.0,69.003729,152.043352,196.27251,63.222502,5.125887,177.701166,444.607147,440.08347,
synth_bass.wav,synth_bass.jet,4096,0,0.09073149,2812084,2024487,0.7199241,2,512,true,true,100.0,12500.0,0.201341,387.832982,173.356492,50.639158,0.0,0.0,69.863124,152.473805,140.47939,57.309665,4.760637,126.461003,388.662494,387.835397,
synth_bass.wav,synth_bass.jet,4096,0,0.09076757,2812084,1238499,0.44042033,2,512,true,true,200.0,10000.0,0.35861,334.698948,186.75033,46.120915,0.0,0.0,62.593426,153.644419,81.291852,60.286006,4.379388,74.023362,335.375418,334.700458,
synth_bass.wav,synth_bass.jet,4096,0,0.09076757,2812084,1238499,0.44042033,2,512,true,true,300.0,8000.0,0.265636,339.842344,172.662516,50.513585,0.0,0.0,66.124888,157.547772,81.768792,55.237999,4.154803,75.987566,324.978145,339.844156,
synth_bass.wav,synth_bass.jet,256,0,0.08718852,2812084,2835826,1.0084429,2,1024,true,true,0.0,0.0,0.190474,375.475128,101.473319,49.132273,0.0,0.0,73.114159,81.882291,205.368764,58.571441,4.815274,184.295603,384.964103,375.476637,
synth_bass.wav,synth_bass.jet,256,0,0.08718852,2812084,2835826,1.0084429,2,1024,true,true,0.0,15000.0,0.249638,378.915428,99.909381,48.718422,0.0,0.0,70.063258,81.411088,206.158431,62.832499,4.955035,184.452268,381.337856,378.917542,
synth_bass.wav,synth_bass.jet,256,0,0.0872266,2812084,2096581,0.7455613,2,1024,true,true,100.0,12500.0,0.183833,324.994446,102.252118,45.975117,0.0,0.0,69.833844,85.460542,150.137105,57.579226,4.812557,134.981008,327.22157,324.996257,
synth_bass.wav,synth_bass.jet,256,0,0.087246284,2812084,1332629,0.47389373,2,1024,true,true,200.0,10000.0,0.23364,281.541069,101.735334,53.601313,0.0,0.0,68.824725,85.069935,94.483747,55.509069,4.415611,86.619987,269.694867,281.54288,
synth_bass.wav,synth_bass.jet,256,0,0.087246284,2812084,1332629,0.47389373,2,1024,true,true,300.0,8000.0,0.177494,281.797348,100.289423,45.426034,0.0,0.0,68.464908,93.532585,93.744492,55.674187,4.141219,86.51343,266.819348,281.799159,
synth_bass.wav,synth_bass.jet,512,0,0.069825605,2812084,2800447,0.99586177,2,1024,true,true,0.0,0.0,0.231828,450.081985,176.97157,45.6316,0.0,0.0,70.042429,157.653725,204.881261,59.496039,4.923339,185.810035,457.052239,450.084098,
synth_bass.wav,synth_bass.jet,512,0,0.069825605,2812084,2800447,0.99586177,2,1024,true,true,0.0,15000.0,0.242092,449.174593,178.887778,45.250653,0.0,0.0,78.405767,156.087071,202.53309,63.064931,5.022652,183.2566,465.09319,449.177008,
synth_bass.wav,synth_bass.jet,512,0,0.069875315,2812084,2055196,0.73084444,2,1024,true,true,100.0,12500.0,0.222471,397.19095,178.700926,48.602207,0.0,0.0,71.674286,157.207274,144.590424,58.103557,4.63295,132.032437,399.822566,397.193365,
synth_bass.wav,synth_bass.jet,512,0,0.069913276,2812084,1283658,0.45647925,2,1024,true,true,200.0,10000.0,0.197416,347.21045,193.524677,46.074128,0.0,0.0,63.010295,157.417972,88.207469,61.721352,4.541185,81.388448,349.482551,347.212261,
synth_bass.wav,synth_bass.jet,512,0,0.069913276,2812084,1283658,0.45647925,2,1024,true,true,300.0,8000.0,0.20768,347.059822,176.564964,44.683156,0.0,0.0,67.69124,158.05369,90.928739,61.420699,4.536657,82.180831,339.930789,347.062237,
synth_bass.wav,synth_bass.jet,1024,0,0.058250424,2812084,2783537,0.98984843,2,1024,true,true,0.0,0.0,0.237866,529.073663,261.426917,44.519849,0.0,0.0,73.793042,239.876817,197.287968,63.449501,4.904926,179.78219,537.652832,529.075475,
synth_bass.wav,synth_bass.jet,1024,0,0.058250424,2812084,2783537,0.98984843,2,1024,true,true,0.0,15000.0,0.225188,531.765653,260.485415,47.835179,0.0,0.0,74.442947,238.813666,196.903398,64.729992,5.018727,178.725679,537.077788,531.767765,
synth_bass.wav,synth_bass.jet,1024,0,0.058296345,2812084,2040607,0.7256565,2,1024,true,true,100.0,12500.0,0.204661,477.135601,261.767113,44.806919,0.0,0.0,69.093985,240.243577,141.784634,60.015841,4.680342,130.96355,477.532546,477.137714,
synth_bass.wav,synth_bass.jet,1024,0,0.058351923,2812084,1259714,0.44796458,2,1024,true,true,200.0,10000.0,0.197416,430.201775,262.023695,48.417769,0.0,0.0,68.54792,241.866981,84.670272,59.86612,4.652873,79.394963,420.093987,430.203889,
synth_bass.wav,synth_bass.jet,1024,0,0.058351923,2812084,1259714,0.44796458,2,1024,true,true,300.0,8000.0,0.198322,441.153565,258.446048,45.396753,0.0,0.0,72.898329,238.624701,85.009864,75.212691,4.236608,81.265591,420.79068,441.155376,
synth_bass.wav,synth_bass.jet,2048,0,0.051897112,2812084,2769071,0.98470426,2,1024,true,true,0.0,0.0,0.21432,564.650603,299.796668,45.689558,0.0,0.0,71.046718,275.58748,195.143553,62.754921,5.059478,179.1347,571.263152,564.652414,
synth_bass.wav,synth_bass.jet,2048,0,0.051897112,2812084,2769071,0.98470426,2,1024,true,true,0.0,15000.0,0.179607,561.619021,296.196078,45.127192,0.0,0.0,75.854748,274.760685,195.229884,61.230829,5.143094,178.762808,572.605524,561.620833,
synth_bass.wav,synth_bass.jet,2048,0,0.05194653,2812084,2030306,0.7219934,2,1024,true,true,100.0,12500.0,0.207077,517.613542,295.192393,52.566838,0.0,0.0,71.516715,274.895315,139.483251,60.869804,4.647138,128.275485,511.048384,517.616561,
synth_bass.wav,synth_bass.jet,2048,0,0.05201651,2812084,1248051,0.4438171,2,1024,true,true,200.0,10000.0,0.301256,458.739033,305.257922,46.806742,0.0,0.0,67.273767,275.22555,82.74531,59.228892,4.346787,76.900391,459.927457,458.740845,
synth_bass.wav,synth_bass.jet,2048,0,0.05201651,2812084,1248051,0.4438171,2,1024,true,true,300.0,8000.0,0.230923,460.906692,300.461967,46.639512,0.0,0.0,62.90736,275.074318,83.946713,60.636466,4.098356,77.890794,451.646828,460.908503,
synth_bass.wav,synth_bass.jet,4096,0,0.04748332,2812084,2765532,0.9834457,2,1024,true,true,0.0,0.0,0.233338,578.285024,314.801533,44.272324,0.0,0.0,72.151527,293.159969,195.073521,61.592156,5.11653,177.739502,587.378259,578.286835,
synth_bass.wav,synth_bass.jet,4096,0,0.04748332,2812084,2765532,0.9834457,2,1024,true,true,0.0,15000.0,0.18172,583.372575,317.528236,44.936114,0.0,0.0,72.995226,293.872661,195.404662,62.836121,4.938734,180.11333,591.051898,583.375292,
synth_bass.wav,synth_bass.jet,4096,0,0.047520965,2812084,2028219,0.7212512,2,1024,true,true,100.0,12500.0,0.182323,527.439694,318.673494,44.798164,0.0,0.0,67.987063,293.71026,138.614498,60.856824,4.643817,127.147132,530.103309,527.441203,
synth_bass.wav,synth_bass.jet,4096,0,0.047600135,2812084,1241516,0.4414932,2,1024,true,true,200.0,10000.0,0.203755,480.594013,316.916064,45.11542,0.0,0.0,66.455123,293.353763,81.617862,66.252273,4.252606,75.279402,469.446919,480.595824,
synth_bass.wav,synth_bass.jet,4096,0,0.047600135,2812084,1241516,0.4414932,2,1024,true,true,300.0,8000.0,0.220962,475.783568,321.453625,45.228918,0.0,0.0,65.867402,293.902244,81.738606,60.91297,4.209138,75.07957,473.491243,475.785681,
synth_bass.wav,synth_bass.jet,256,0,0.08273257,2812084,2836106,1.0085424,2,2048,true,true,0.0,0.0,0.293408,377.790093,115.528533,46.006209,0.0,0.0,80.504601,81.821315,204.679014,63.481197,4.792936,184.869137,405.800908,377.791603,
synth_bass.wav,synth_bass.jet,256,0,0.08273257,2812084,2836106,1.0085424,2,2048,true,true,0.0,15000.0,0.179607,377.287496,100.358248,45.765626,0.0,0.0,74.391631,81.731663,205.985766,63.460066,5.061894,184.773448,385.978655,377.28961,
synth_bass.wav,synth_bass.jet,256,0,0.08277581,2812084,2096656,0.74558794,2,2048,true,true,100.0,12500.0,0.192889,327.413554,101.321181,45.933159,0.0,0.0,74.861627,81.734682,150.363802,63.708497,4.562315,135.052246,331.303323,327.415365,
synth_bass.wav,synth_bass.jet,256,0,0.08279674,2812084,1332547,0.4738646,2,2048,true,true,200.0,10000.0,0.226093,274.302764,100.802586,45.121759,0.0,0.0,71.859024,86.001173,94.705312,55.966086,4.322034,86.54905,271.916861,274.304574,
synth_bass.wav,synth_bass.jet,256,0,0.08279674,2812084,1332547,0.4738646,2,2048,true,true,300.0,8000.0,0.183833,281.514807,100.934499,45.07648,0.0,0.0,63.546096,82.539743,94.227769,66.647408,4.138503,86.648663,263.03221,281.516316,
synth_bass.wav,synth_bass.jet,512,0,0.057009965,2812084,2800252,0.99579245,2,2048,true,true,0.0,0.0,0.180211,445.622001,176.322872,45.139568,0.0,0.0,75.078061,158.43343,201.095933,59.437779,4.985523,181.148108,457.664109,445.624115,
synth_bass.wav,synth_bass.jet,512,0,0.057009965,2812084,2800252,0.99579245,2,2048,true,true,0.0,15000.0,0.184135,445.36874,177.521559,45.743892,0.0,0.0,82.348364,157.138752,200.286042,58.814739,5.15547,182.089308,465.497985,445.370853,
synth_bass.wav,synth_bass.jet,512,0,0.057069533,2812084,2055216,0.7308516,2,2048,true,true,100.0,12500.0,0.221867,404.13464,180.861642,45.203865,0.0,0.0,72.253857,168.594346,144.219438,57.797169,19.981936,131.40185,417.540552,404.13645,
synth_bass.wav,synth_bass.jet,512,0,0.057114553,2812084,1283770,0.45651907,2,2048,true,true,200.0,10000.0,0.1947,343.171258,176.840562,44.643008,0.0,0.0,63.614619,156.885189,88.831113,59.32428,4.384821,81.699666,333.867626,343.17307,
synth_bass.wav,synth_bass.jet,512,0,0.057114553,2812084,1283770,0.45651907,2,2048,true,true,300.0,8000.0,0.226697,345.672774,176.66488,44.830161,0.0,0.0,62.318733,157.785035,88.737536,60.741513,4.291848,81.706005,332.241504,345.674887,
synth_bass.wav,synth_bass.jet,1024,0,0.04089855,2812084,2784147,0.9900654,2,2048,true,true,0.0,0.0,0.182022,603.599622,333.393102,45.24703,0.0,0.0,73.571476,319.079797,197.687027,58.508352,4.922434,179.198694,609.75757,603.602339,
synth_bass.wav,synth_bass.jet,1024,0,0.04089855,2812084,2784147,0.9900654,2,2048,true,true,0.0,15000.0,0.250846,602.530735,332.565099,44.640895,0.0,0.0,68.742318,312.872344,198.435036,63.380073,4.976165,180.006472,604.971577,602.532547,
synth_bass.wav,synth_bass.jet,1024,0,0.040964056,2812084,2040268,0.7255359,2,2048,true,true,100.0,12500.0,0.183229,551.698688,333.159763,45.666918,0.0,0.0,71.037663,317.101103,144.905264,57.440673,4.816481,130.455519,554.104212,551.700499,
synth_bass.wav,synth_bass.jet,1024,0,0.041044533,2812084,1259395,0.44785112,2,2048,true,true,200.0,10000.0,0.18353,500.893808,332.930954,45.34423,0.0,0.0,63.078515,313.01935,85.269767,62.386048,4.603971,79.487333,486.068247,500.895317,
synth_bass.wav,synth_bass.jet,1024,0,0.041044533,2812084,1259395,0.44785112,2,2048,true,true,300.0,8000.0,0.196511,499.914272,333.527731,45.219259,0.0,0.0,69.028179,312.681267,85.05605,61.748217,4.429496,79.646414,492.239477,499.916082,
synth_bass.wav,synth_bass.jet,2048,0,0.02809716,2812084,2770075,0.9850612,2,2048,true,true,0.0,0.0,0.197718,758.844504,490.624826,45.10093,0.0,0.0,72.230614,471.05674,194.410334,63.323626,4.841838,177.901299,762.307745,758.846918,
synth_bass.wav,synth_bass.jet,2048,0,0.02809716,2812084,2770075,0.9850612,2,2048,true,true,0.0,15000.0,0.217038,758.320172,489.303584,45.032408,0.0,0.0,72.594658,468.491834,194.763812,64.269655,4.94447,179.006107,761.825976,758.322285,
synth_bass.wav,synth_bass.jet,2048,0,0.028175443,2812084,2029371,0.72166085,2,2048,true,true,100.0,12500.0,0.221867,706.404447,488.93924,44.706097,0.0,0.0,69.892706,469.405263,139.633276,62.405971,4.64744,128.830002,703.33634,706.40656,
synth_bass.wav,synth_bass.jet,2048,0,0.028290557,2812084,1248448,0.44395828,2,2048,true,true,200.0,10000.0,0.214019,659.260225,494.775404,44.454345,0.0,0.0,66.663105,470.13667,86.157235,66.195523,4.244154,77.838271,652.055427,659.262036,
synth_bass.wav,synth_bass.jet,2048,0,0.028290557,2812084,1248448,0.44395828,2,2048,true,true,300.0,8000.0,0.211604,657.554413,488.241942,48.6013,0.0,0.0,66.654955,470.9366,85.036126,60.867087,4.245664,76.558384,644.392101,657.556225,
synth_bass.wav,synth_bass.jet,4096,0,0.019084614,2812084,2768485,0.9844958,2,2048,true,true,0.0,0.0,0.203152,833.934337,561.356101,49.021792,0.0,0.0,71.96377,542.957722,195.300218,62.465437,4.958053,178.04106,833.783105,833.936148,
